BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.1085885,0.0,9.9679575,0.0,0.0,34.39417,0.0,81.07,0.0,2.0,8.7
-2.4282637,0.0,14.762494,0.0,0.0,28.569765,0.0,109.87,0.0,1.0,7.04
-2.4431067,0.0,0.0,11.336786,0.0,22.239712,0.0,24.3,0.0,1.0,6.48
-2.3071766,0.0,17.530308,0.0,0.0,43.461353,0.0,63.24,0.0,2.0,5.34
-2.4522767,11.499023,14.358372,0.0,0.0,34.009113,0.0,62.75,0.0,2.0,7.0
-2.0918741,23.133465,23.43059,0.0,5.098682,38.33812,0.0,86.98,0.0,2.0,7.7
-2.4282632,0.0,14.762494,0.0,0.0,28.569765,0.0,117.63,0.0,1.0,7.33
-1.9973223,5.817863,9.499376,5.098682,0.0,17.02195,0.0,62.45,0.0,1.0,3.51
-2.0468276,15.597501,13.401775,0.0,0.0,21.539299,0.0,90.66,0.0,2.0,5.78
-2.0914118,11.499023,19.040174,0.0,5.098682,34.009113,0.0,86.98,0.0,2.0,7.4
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,0.0,1.0,8.12
-2.0468254,15.597501,13.401775,0.0,0.0,21.539299,0.0,90.66,0.0,2.0,5.49
-1.9876473,5.817863,9.499376,5.098682,0.0,17.02195,0.0,62.45,0.0,1.0,3.67
-2.4758458,34.767906,36.71457,11.761885,0.0,75.21104,0.0,242.69,0.0,3.0,4.39
-2.0468414,21.380745,13.401775,0.0,0.0,27.322542,0.0,98.5,0.0,2.0,4.86
-2.4282641,0.0,14.762494,0.0,0.0,28.569765,0.0,100.64,0.0,1.0,6.55
-2.3820508,5.647177,9.499376,16.435467,0.0,16.983963,0.0,51.89,0.0,1.0,7.66
-2.3008475,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,4.74
-2.2236106,0.0,0.0,11.336786,0.0,22.239712,0.0,21.06,0.0,1.0,6.59
-2.0468278,15.597501,13.401775,0.0,0.0,21.539299,0.0,94.32,0.0,2.0,6.02
-1.8930992,5.760247,4.9839787,0.0,0.0,11.702045,0.0,38.06,0.0,2.0,5.77
-1.9149545,5.647177,9.499376,16.435467,0.0,16.983963,0.0,43.08,0.0,0.0,6.9
-2.3035297,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,6.44
-2.3034358,5.783245,13.139892,0.0,0.0,44.915596,0.0,80.31,0.0,2.0,6.25
-2.0468278,15.597501,13.401775,5.2618914,0.0,21.539299,5.2618914,105.22,0.0,2.0,5.79
-2.0357308,0.0,4.9839787,0.0,0.0,28.793575,0.0,82.96,0.0,1.0,8.3
